Matrix_Size,N_Threads,Thread,Time
200,6,2,1544
200,6,3,1545
200,6,4,1545
200,6,5,1546
200,6,0,1544
200,6,1,1541
200,6,2,1541
200,6,3,1542
200,6,4,1539
200,6,5,1540
200,6,0,1551
200,6,1,1550
200,6,2,1552
200,6,3,1550
200,6,4,1549
200,6,5,1555
200,6,0,1536
200,6,1,1536
200,6,2,1538
200,6,3,1537
200,6,4,1537
200,6,5,1540
200,6,0,1545
200,6,1,1542
200,6,2,1541
200,6,3,1543
200,6,4,1540
200,6,5,1541
200,6,0,1543
200,6,1,1539
200,6,2,1541
200,6,3,1540
200,6,4,1539
200,6,5,1540
200,6,0,1542
200,6,1,1543
200,6,2,1544
200,6,3,1543
200,6,4,1543
200,6,5,1547
200,6,0,1554
200,6,1,1550
200,6,2,1551
200,6,3,1550
200,6,4,1551
200,6,5,1553
200,6,0,1550
200,6,1,1549
200,6,2,1546
200,6,3,1547
200,6,4,1546
200,6,5,1549
200,8,0,1160
200,8,1,1158
200,8,2,1159
200,8,3,1157
200,8,4,1156
200,8,5,1158
200,8,6,1156
200,8,7,1163
200,8,0,1164
200,8,1,1161
200,8,2,1159
200,8,3,1159
200,8,4,1159
200,8,5,1158
200,8,6,1161
200,8,7,1162
200,8,0,1165
200,8,1,1168
200,8,2,1164
200,8,3,1164
200,8,4,1165
200,8,5,1167
200,8,6,1166
200,8,7,1170
200,8,0,1170
200,8,1,1173
200,8,2,1171
200,8,3,1170
200,8,4,1173
200,8,5,1172
200,8,6,1175
200,8,7,1177
200,8,0,1177
200,8,1,1176
200,8,2,1175
200,8,3,1179
200,8,4,1177
200,8,5,1176
200,8,6,1176
200,8,7,1177
200,8,0,1170
200,8,1,1165
200,8,2,1164
200,8,3,1163
200,8,4,1166
200,8,5,1168
200,8,6,1166
200,8,7,1165
200,8,0,1174
200,8,1,1168
200,8,2,1169
200,8,3,1171
200,8,4,1171
200,8,5,1167
200,8,6,1170
200,8,7,1168
200,8,0,1183
200,8,1,1188
200,8,2,1181
200,8,3,1181
200,8,4,1182
200,8,5,1183
200,8,6,1184
200,8,7,1180
200,8,0,1158
200,8,1,1158
200,8,2,1158
200,8,3,1160
200,8,4,1157
200,8,5,1160
200,8,6,1162
200,8,7,1164
200,8,0,1159
200,8,1,1152
200,8,2,1155
200,8,3,1156
200,8,4,1153
200,8,5,1153
200,8,6,1155
200,8,7,1154
200,8,0,1170
200,8,1,1163
200,8,2,1163
200,8,3,1166
200,8,4,1164
200,8,5,1165
200,8,6,1162
200,8,7,1165
200,8,0,1163
200,8,1,1157
200,8,2,1159
200,8,3,1161
200,8,4,1158
200,8,5,1157
200,8,6,1160
200,8,7,1159
200,8,0,1169
200,8,1,1165
200,8,2,1165
200,8,3,1166
200,8,4,1166
200,8,5,1164
200,8,6,1163
200,8,7,1162
200,8,0,1159
200,8,1,1160
200,8,2,1160
200,8,3,1167
200,8,4,1162
200,8,5,1163
200,8,6,1161
200,8,7,1162
200,8,0,1161
200,8,1,1163
200,8,2,1162
200,8,3,1161
200,8,4,1163
200,8,5,1164
200,8,6,1160
200,8,7,1166
200,8,0,1171
200,8,1,1171
200,8,2,1174
200,8,3,1173
200,8,4,1172
200,8,5,1170
200,8,6,1172
200,8,7,1178
200,8,0,1181
200,8,1,1175
200,8,2,1177
200,8,3,1176
200,8,4,1180
200,8,5,1178
200,8,6,1177
200,8,7,1178
200,8,0,1161
200,8,1,1162
200,8,2,1166
200,8,3,1163
200,8,4,1160
200,8,5,1163
200,8,6,1161
200,8,7,1161
200,8,0,1166
200,8,1,1161
200,8,2,1163
200,8,3,1162
200,8,4,1159
200,8,5,1160
200,8,6,1163
200,8,7,1161
200,8,0,1165
200,8,1,1164
200,8,2,1162
200,8,3,1164
200,8,4,1167
200,8,5,1163
200,8,6,1166
200,8,7,1161
200,8,0,1174
200,8,1,1167
200,8,2,1167
200,8,3,1170
200,8,4,1171
200,8,5,1168
200,8,6,1169
200,8,7,1169
200,8,0,1198
200,8,1,1193
200,8,2,1195
200,8,3,1193
200,8,4,1192
200,8,5,1191
200,8,6,1192
200,8,7,1194
200,8,0,1166
200,8,1,1164
200,8,2,1163
200,8,3,1163
200,8,4,1165
200,8,5,1166
200,8,6,1167
200,8,7,1170
200,8,0,1161
200,8,1,1163
200,8,2,1161
200,8,3,1166
200,8,4,1162
200,8,5,1160
200,8,6,1163
200,8,7,1159
200,8,0,1190
200,8,1,1189
200,8,2,1188
200,8,3,1186
200,8,4,1187
200,8,5,1185
200,8,6,1194
200,8,7,1186
200,8,0,1192
200,8,1,1188
200,8,2,1187
200,8,3,1188
200,8,4,1189
200,8,5,1185
200,8,6,1190
200,8,7,1188
200,8,0,1156
200,8,1,1157
200,8,2,1156
200,8,3,1158
200,8,4,1159
200,8,5,1157
200,8,6,1163
200,8,7,1159
200,8,0,1160
200,8,1,1153
200,8,2,1155
200,8,3,1156
200,8,4,1155
200,8,5,1153
200,8,6,1157
200,8,7,1154
200,8,0,1160
200,8,1,1160
200,8,2,1161
200,8,3,1160
200,8,4,1159
200,8,5,1164
200,8,6,1158
200,8,7,1158
200,8,0,1172
200,8,1,1168
200,8,2,1167
200,8,3,1160
200,8,4,1165
200,8,5,1169
200,8,6,1167
200,8,7,1167
200,10,0,960
200,10,1,958
200,10,2,955
200,10,3,953
200,10,4,956
200,10,5,960
200,10,6,955
200,10,7,958
200,10,8,956
200,10,9,959
200,10,0,956
200,10,1,960
200,10,2,959
200,10,3,956
200,10,4,957
200,10,5,960
200,10,6,961
200,10,7,958
200,10,8,957
200,10,9,966
200,10,0,962
200,10,1,958
200,10,2,953
200,10,3,955
200,10,4,956
200,10,5,952
200,10,6,954
200,10,7,956
200,10,8,953
200,10,9,958
200,10,0,957
200,10,1,960
200,10,2,956
200,10,3,959
200,10,4,956
200,10,5,958
200,10,6,959
200,10,7,961
200,10,8,958
200,10,9,965
200,10,0,954
200,10,1,954
200,10,2,957
200,10,3,954
200,10,4,953
200,10,5,957
200,10,6,958
200,10,7,955
200,10,8,955
200,10,9,962
200,10,0,960
200,10,1,957
200,10,2,958
200,10,3,958
200,10,4,960
200,10,5,958
200,10,6,956
200,10,7,955
200,10,8,958
200,10,9,964
200,10,0,956
200,10,1,956
200,10,2,952
200,10,3,953
200,10,4,953
200,10,5,951
200,10,6,951
200,10,7,955
200,10,8,954
200,10,9,961
200,10,0,952
200,10,1,956
200,10,2,948
200,10,3,961
200,10,4,949
200,10,5,954
200,10,6,955
200,10,7,953
200,10,8,957
200,10,9,953
200,10,0,964
200,10,1,956
200,10,2,954
200,10,3,953
200,10,4,955
200,10,5,959
200,10,6,959
200,10,7,960
200,10,8,955
200,10,9,957
200,10,0,958
200,10,1,957
200,10,2,959
200,10,3,957
200,10,4,956
200,10,5,955
200,10,6,955
200,10,7,953
200,10,8,954
200,10,9,964
200,10,0,966
200,10,1,960
200,10,2,961
200,10,3,959
200,10,4,958
200,10,5,960
200,10,6,957
200,10,7,963
200,10,8,957
200,10,9,962
200,10,0,951
200,10,1,950
200,10,2,955
200,10,3,952
200,10,4,954
200,10,5,953
200,10,6,951
200,10,7,955
200,10,8,960
200,10,9,954
200,10,0,965
200,10,1,958
200,10,2,967
200,10,3,961
200,10,4,959
200,10,5,963
200,10,6,964
200,10,7,964
200,10,8,960
200,10,9,968
200,10,0,967
200,10,1,959
200,10,2,960
200,10,3,958
200,10,4,957
200,10,5,958
200,10,6,961
200,10,7,962
200,10,8,957
200,10,9,960
200,10,0,961
200,10,1,959
200,10,2,965
200,10,3,962
200,10,4,961
200,10,5,958
200,10,6,961
200,10,7,954
200,10,8,963
200,10,9,959
200,10,0,966
200,10,1,957
200,10,2,957
200,10,3,956
200,10,4,959
200,10,5,961
200,10,6,958
200,10,7,962
200,10,8,959
200,10,9,959
200,10,0,966
200,10,1,968
200,10,2,970
200,10,3,970
200,10,4,968
200,10,5,965
200,10,6,967
200,10,7,967
200,10,8,971
200,10,9,975
200,10,0,954
200,10,1,953
200,10,2,955
200,10,3,956
200,10,4,958
200,10,5,957
200,10,6,953
200,10,7,954
200,10,8,957
200,10,9,964
200,10,0,956
200,10,1,947
200,10,2,946
200,10,3,948
200,10,4,947
200,10,5,952
200,10,6,949
200,10,7,949
200,10,8,946
200,10,9,950
200,10,0,970
200,10,1,971
200,10,2,968
200,10,3,973
200,10,4,969
200,10,5,971
200,10,6,970
200,10,7,976
200,10,8,967
200,10,9,968
200,10,0,955
200,10,1,954
